ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_the_week,month
A246CA24873F7C5C,classic_bike,21:21.2,30:09.9,Michigan Ave & Lake St,TA1305000011,Clark St & Elm St,TA1307000039,41.886,-87.6244,41.903,-87.63128,member,0:08:49,7,2
303C0906F3F068AE,classic_bike,55:13.5,13:39.9,Ogden Ave & Race Ave,13194,Clark St & Elm St,TA1307000039,41.8918,-87.6588,41.903,-87.63128,member,0:18:26,2,2
A0F65F3531F1FB2B,electric_bike,32:56.6,38:21.7,Michigan Ave & Lake St,TA1305000011,Wabash Ave & 9th St,TA1309000010,41.886,-87.6244,41.8708,-87.625734,casual,0:05:25,6,2
CE663C815B6A6D73,electric_bike,00:38.6,34:29.0,Ogden Ave & Race Ave,13194,Clark St & Elm St,TA1307000039,41.8918,-87.6588,41.903,-87.63128,casual,0:33:50,2,2
43F626BEF919D026,classic_bike,56:56.6,01:18.7,Clark St & North Ave,13128,Clark St & Elm St,TA1307000039,41.912,-87.6319,41.903,-87.63128,member,0:04:22,5,2
D6A49DA505F5C949,classic_bike,11:16.5,15:11.7,Clark St & North Ave,13128,Clark St & Elm St,TA1307000039,41.912,-87.6319,41.903,-87.63128,member,0:03:55,4,2
6188FDC628BF6552,classic_bike,26:18.1,30:49.0,Clark St & North Ave,13128,Clark St & Elm St,TA1307000039,41.912,-87.6319,41.903,-87.63128,member,0:04:31,2,2
7DE50AE0CD8100E1,classic_bike,03:40.9,08:24.9,Clark St & North Ave,13128,Clark St & Elm St,TA1307000039,41.912,-87.6319,41.903,-87.63128,member,0:04:44,3,2
3F0334B07B4D7F38,electric_bike,57:26.5,06:22.5,Ashland Ave & Division St,13061,Clark St & Elm St,TA1307000039,41.9034,-87.6679,41.903,-87.63128,member,0:08:56,6,2
1641FB083A2CDC74,electric_bike,18:13.9,27:47.9,Ashland Ave & Division St,13061,Clark St & Elm St,TA1307000039,41.9033,-87.6681,41.903,-87.63128,member,0:09:34,2,2
7F07E55F71DBB6E1,electric_bike,58:19.3,19:53.4,Ashland Ave & Division St,13061,Wabash Ave & 9th St,TA1309000010,41.9034,-87.668,41.8708,-87.625734,member,0:21:34,7,2
49F62F9415B1C17F,classic_bike,58:40.8,24:12.5,Clark St & Wrightwood Ave,TA1305000014,Western Ave & Leland Ave,TA1307000140,41.9295,-87.6431,41.9664,-87.68870428,member,0:25:32,7,2
3FE2FC2261C81BCD,electric_bike,14:49.2,18:48.8,Clark St & Wrightwood Ave,TA1305000014,Sheffield Ave & Wellington Ave,TA1307000052,41.9295,-87.6431,41.9363,-87.6526621,member,0:04:00,2,2
E8B36954C99A7BC6,classic_bike,23:49.9,44:30.2,Clinton St & Lake St,13021,Sheffield Ave & Wellington Ave,TA1307000052,41.8856,-87.6418,41.9363,-87.6526621,member,0:20:40,1,2
427F7C17C59E7C98,classic_bike,05:20.8,17:02.4,Clark St & Winnemac Ave,TA1309000035,Western Ave & Leland Ave,TA1307000140,41.9733,-87.6679,41.9664,-87.68870428,member,0:11:42,5,2
89F29B1F43A6EB5F,electric_bike,42:18.2,50:05.4,Sedgwick St & Webster Ave,13191,Clark St & Elm St,TA1307000039,41.9222,-87.6389,41.903,-87.63128,member,0:07:47,2,2
93319DD4B600B3F2,electric_bike,19:04.5,23:47.3,Meade Ave & Fullerton Ave,24178,Nagle Ave & Belmont Ave,24324,41.9248,-87.7783,41.9385,-87.78735,member,0:04:43,7,2
07025137AF2EFADC,classic_bike,39:20.1,41:54.4,Lincoln Ave & Sunnyside Ave,TA1307000156,Western Ave & Leland Ave,TA1307000140,41.963,-87.6848,41.9664,-87.68870428,member,0:02:34,7,2
C64932689F2CC1F0,classic_bike,03:58.6,16:11.0,Sedgwick St & Webster Ave,13191,Clark St & Elm St,TA1307000039,41.9222,-87.6389,41.903,-87.63128,member,0:12:12,2,2
C41EE008A2D3E8B2,classic_bike,22:26.9,50:53.3,Michigan Ave & Oak St,13042,Clark St & Elm St,TA1307000039,41.901,-87.6238,41.903,-87.63128,member,0:28:26,1,2
FC01D36D5169CB38,electric_bike,50:54.3,57:43.0,Sedgwick St & Webster Ave,13191,Clark St & Elm St,TA1307000039,41.9222,-87.6389,41.903,-87.63128,member,0:06:49,2,2
D5A5B6CEE58D2B1A,electric_bike,01:02.7,08:35.7,Sedgwick St & Webster Ave,13191,Clark St & Elm St,TA1307000039,41.9222,-87.6389,41.903,-87.63128,member,0:07:33,1,2
BA31F080CD4E4FA2,classic_bike,35:07.5,47:53.6,Sedgwick St & Webster Ave,13191,Clark St & Elm St,TA1307000039,41.9222,-87.6389,41.903,-87.63128,member,0:12:46,6,2
67FEF0AACCB5AF83,classic_bike,37:42.8,43:53.8,Orleans St & Elm St,TA1306000006,Clark St & Elm St,TA1307000039,41.9029,-87.6377,41.903,-87.63128,member,0:06:11,1,2
8E55042880B53652,classic_bike,21:06.2,25:06.0,Clark St & North Ave,13128,Clark St & Elm St,TA1307000039,41.912,-87.6319,41.903,-87.63128,member,0:04:00,2,2
ED6A121C6A26A0D9,classic_bike,36:13.0,39:50.4,Clark St & North Ave,13128,Clark St & Elm St,TA1307000039,41.912,-87.6319,41.903,-87.63128,member,0:03:37,1,2
63D1A7E187191017,electric_bike,57:00.7,06:21.3,Sedgwick St & Webster Ave,13191,Clark St & Elm St,TA1307000039,41.9222,-87.6389,41.903,-87.63128,member,0:09:21,1,2
12132538F614F57F,classic_bike,31:15.9,01:40.4,Clark St & North Ave,13128,Wabash Ave & 9th St,TA1309000010,41.912,-87.6319,41.8708,-87.625734,member,0:30:25,1,2
051F6A304BD881CC,classic_bike,17:07.8,20:39.1,Michigan Ave & Oak St,13042,Clark St & Elm St,TA1307000039,41.901,-87.6238,41.903,-87.63128,member,0:03:31,5,2
5CF6768AD5F6AF06,electric_bike,27:35.7,33:34.0,Sedgwick St & Webster Ave,13191,Sheffield Ave & Wellington Ave,TA1307000052,41.9222,-87.6389,41.9363,-87.6526621,member,0:05:58,6,2
BC7708D909FE969F,classic_bike,35:02.9,45:45.0,Sheridan Rd & Irving Park Rd,13063,Sheffield Ave & Wellington Ave,TA1307000052,41.9542,-87.6544,41.9363,-87.6526621,member,0:10:42,6,2
FE9A0B278BF8B4FB,classic_bike,40:01.4,43:05.7,Lincoln Ave & Sunnyside Ave,TA1307000156,Western Ave & Leland Ave,TA1307000140,41.963,-87.6848,41.9664,-87.68870428,member,0:03:04,3,2
D3C9688896FEF6AB,classic_bike,04:26.4,22:02.2,Michigan Ave & Oak St,13042,Wabash Ave & 9th St,TA1309000010,41.901,-87.6238,41.8708,-87.625734,member,0:17:36,6,2
F2EC9C040ABDBAAF,electric_bike,44:27.4,51:31.1,Michigan Ave & Lake St,TA1305000011,Clark St & Elm St,TA1307000039,41.886,-87.6244,41.903,-87.63128,member,0:07:04,5,2
2CCA7D338C4B39F0,electric_bike,09:20.0,16:04.3,Michigan Ave & Lake St,TA1305000011,Clark St & Elm St,TA1307000039,41.886,-87.6244,41.903,-87.63128,casual,0:06:44,5,2
3CEC695E66E2DE56,electric_bike,08:30.2,14:21.1,Michigan Ave & Lake St,TA1305000011,Clark St & Elm St,TA1307000039,41.886,-87.6244,41.903,-87.63128,casual,0:05:51,6,2
